no,constituency,mla,party,alliance,reserved,district
175,Hilsa,Krishna Murari Sharan,JD(U),NDA,,
176,Nalanda,Shrawan Kumar,JD(U),NDA,,
177,Harnaut,Hari Narayan Singh,JD(U),NDA,,
178,Mokama,,,,,
179,Barh,Gyanendra Kumar Singh,BJP,NDA,,Switched from RJD to JDU
180,Bakhtiarpur,Aniruddh Kumar Yadav,RJD,MGB,,Switched from RJD to JDU
181,Digha,Sanjeev Chaurasiya,BJP,NDA,,Switched from RJD to JDU
182,Bankipur,Nitin Nabin,BJP,NDA,,Switched from RJD to JDU
183,Kumhrar,Arun Kumar Sinha,BJP,NDA,,Switched from RJD to JDU
184,Patna Sahib,Nand Kishore Yadav,BJP,NDA,,Switched from RJD to JDU
185,Fatuha,Rama Nand Yadav,RJD,MGB,,Switched from RJD to JDU
186,Danapur,Ritlal Yadav,RJD,MGB,,Switched from RJD to JDU
187,Maner,Bhai Virendra Yadav,RJD,MGB,,Switched from RJD to JDU
188,Phulwari,Gopal Ravidas,CPI(ML)L,MGB,SC,Switched from RJD to JDU
189,Masaurhi,Rekha Devi,RJD,MGB,SC,Switched from RJD to JDU
190,Paliganj,Sandeep Yadav,CPI(ML)L,MGB,,Switched from RJD to JDU
191,Bikram,Siddharth Saurav,BJP,NDA,,Switched from RJD to JDU
192,Sandesh,,,,,
193,Barhara,Raghvendra Pratap Singh,BJP,NDA,,Switched from RJD to JDU
194,Arrah,Amrendra Pratap Singh,BJP,NDA,,Switched from RJD to JDU
195,Agiaon,Manoj Manzil,CPI(ML)L,MGB,SC,Switched from RJD to JDU
196,Tarari,Sudama Prasad,CPI(ML)L,MGB,,Switched from RJD to JDU
197,Jagdishpur,Ram Vishnun Yadav,RJD,MGB,,Switched from RJD to JDU
198,Shahpur,Rahul Tiwari,RJD,MGB,,Switched from RJD to JDU
199,Brahampur,,,,,
200,Buxar,Sanjay Kumar Tiwari,INC,MGB,,Switched from RJD to JDU
201,Dumraon,Ajit Kumar Singh,CPI(ML)L,MGB,,Switched from RJD to JDU
202,Rajpur,Vishwanath Ram,INC,MGB,SC,Switched from RJD to JDU
203,Ramgarh,,,,,
204,Mohania,Sangita Kumari,BJP,NDA,SC,Switched from RJD to JDU
205,Bhabua,Bharat Bind,BJP,NDA,,Switched from RJD to JDU
206,Chainpur,Mohd Zama Khan,JD(U),NDA,,Switched from RJD to JDU
207,Chenari,,,,SC,
208,Sasaram,Rajesh Kumar Gupta,RJD,MGB,,Switched from RJD to JDU
209,Kargahar,Santhosh Kumar Mishra,INC,MGB,,Switched from RJD to JDU
210,Dinara,Vijay Yadav,RJD,MGB,,Switched from RJD to JDU
211,Nokha,Anita Devi,RJD,MGB,,Switched from RJD to JDU
212,Dehri,Fateh Bahadur Singh,RJD,MGB,,Switched from RJD to JDU
213,Karakat,Arun Singh,CPI(ML)L,MGB,,Switched from RJD to JDU
214,Arwal,,,,,
215,Kurtha,Bagi Kumar Verma,RJD,MGB,,Switched from RJD to JDU
216,Jehanabad,,,,,
217,Ghosi,Ram Bali Singh Yadav,CPI(ML)L,MGB,,Switched from RJD to JDU
218,Makhdumpur,Satish Kumar,RJD,MGB,SC,Switched from RJD to JDU
219,Goh,,,,,
220,Obra,Rishi Yadav,RJD,MGB,,Switched from RJD to JDU
221,Nabinagar,Vijay Kumar Singh,RJD,MGB,,Switched from RJD to JDU
222,Kutumba,Rajesh Kumar,INC,MGB,SC,Switched from RJD to JDU
223,Aurangabad,Anand Shankar Singh,INC,MGB,,Switched from RJD to JDU
